,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2012,2011,2010,2009,2008,2007,2006,2005
0,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States
1,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,China,Russia,Russia,Russia,China,China
2,China,China,China,China,China,China,China,China,China,China,China,China,Russia,China,China,China,Russia,Russia
3,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,Pakistan
4,United Kingdom,Japan,Japan,Japan,France,France,France,France,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Germany,Germany,Germany,Pakistan,India
5,South Korea,South Korea,South Korea,South Korea,Japan,United Kingdom,United Kingdom,United Kingdom,France,France,France,Turkey,France,France,France,France,United Kingdom,United Kingdom
6,Pakistan,France,France,France,South Korea,South Korea,Japan,Japan,South Korea,Germany,Germany,South Korea,Germany,Japan,Japan,Japan,Iran,Iran
7,Japan,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Japan,Turkey,Turkey,Germany,Turkey,South Korea,France,Brazil,Turkey,Turkey,Turkey,North Korea,North Korea
8,France,Pakistan,Brazil,Egypt,Turkey,Turkey,Germany,Germany,Japan,South Korea,Italy,Japan,Japan,Brazil,Brazil,Brazil,Germany,Germany
9,Italy,Brazil,Pakistan,Brazil,Germany,Germany,Egypt,Italy,Turkey,Japan,Brazil,Israel,Turkey,United Kingdom,United Kingdom,United Kingdom,Israel,Israel
10,Turkey,Italy,Turkey,Turkey,Italy,Italy,Italy,South Korea,Israel,Israel,Turkey,Brazil,Israel,Italy,Italy,Italy,France,France
11,Brazil,Egypt,Italy,Italy,Egypt,Egypt,South Korea,Egypt,Indonesia,Italy,Pakistan,Iran,South Korea,South Korea,South Korea,South Korea,Italy,Italy
12,Indonesia,Turkey,Egypt,Germany,Brazil,Iran,Pakistan,Pakistan,Australia,Egypt,Israel,Germany,Italy,Indonesia,Indonesia,Indonesia,Greece,Greece
13,Egypt,Iran,Iran,Iran,Iran,Brazil,Indonesia,Indonesia,Canada,Brazil,Egypt,Taiwan,Indonesia,Mexico,Mexico,Mexico,South Korea,South Korea
14,Ukraine,Indonesia,Germany,Pakistan,Pakistan,Indonesia,Israel,Brazil,Taiwan,Pakistan,Indonesia,Pakistan,Pakistan,Canada,Canada,Canada,Australia,Saudi Arabia
15,Australia,Germany,Indonesia,Indonesia,Indonesia,Israel,Vietnam,Israel,Italy,Canada,Iran,Egypt,Taiwan,Iran,Iran,Iran,Canada,Spain
16,Iran,Australia,Saudi Arabia,Saudi Arabia,Israel,Pakistan,Brazil,Vietnam,Pakistan,Taiwan,Japan,Italy,Egypt,Egypt,Egypt,Egypt,Spain,Canada
17,Israel,Israel,Spain,Israel,North Korea,North Korea,Taiwan,Poland,Egypt,Poland,Taiwan,Indonesia,Iran,North Korea,North Korea,North Korea,Japan,Japan
18,Vietnam,Spain,Australia,Australia,Australia,Spain,Poland,Taiwan,Poland,Indonesia,Canada,Thailand,Mexico,Spain,Spain,Spain,Saudi Arabia,Syria
19,Poland,Saudi Arabia,Israel,Spain,Spain,Vietnam,Thailand,Thailand,Thailand,Australia,Thailand,Ukraine,North Korea,Pakistan,Pakistan,Pakistan,Turkey,Turkey
20,Spain,Taiwan,Canada,Poland,Canada,Australia,Iran,Iran,Vietnam,Ukraine,Mexico,Poland,Sweden,Australia,Australia,Australia,Syria,Australia
21,Saudi Arabia,Ukraine,Taiwan,Vietnam,Taiwan,Poland,Australia,Canada,Brazil,Iran,Ukraine,North Korea,Greece,Saudi Arabia,Saudi Arabia,Saudi Arabia,Egypt,Egypt
22,Taiwan,Canada,Poland,Thailand,Vietnam,Algeria,North Korea,Australia,Iran,Vietnam,Australia,Philippines,Canada,Thailand,Thailand,Thailand,Taiwan,Taiwan
23,Thailand,Poland,Vietnam,Canada,Poland,Taiwan,Saudi Arabia,Saudi Arabia,Sweden,Thailand,Poland,Australia,Saudi Arabia,Argentina,Argentina,Argentina,Indonesia,Indonesia
24,Germany,Sweden,Ukraine,North Korea,Saudi Arabia,Canada,Algeria,North Korea,Ukraine,Saudi Arabia,Vietnam,Canada,Ukraine,Sweden,Sweden,Sweden,Brazil,Brazil
